,Method,TrainSize,Train/Test,Accuracy,Repeat ID
616,MCA,134,Train,0.6567164179104478,2
617,MCA,134,Test,0.6086956521739131,2
618,ACA,134,Train,1.0,2
619,ACA,134,Test,0.782608695652174,2
620,FFI,134,Train,0.208955223880597,2
621,FFI,134,Test,0.17391304347826086,2
622,AMCA,134,Train,1.0,2
623,AMCA,134,Test,0.8260869565217391,2
624,MCA,134,Train,0.8059701492537313,3
625,MCA,134,Test,0.782608695652174,3
626,ACA,134,Train,1.0,3
627,ACA,134,Test,0.8695652173913043,3
628,FFI,134,Train,0.20149253731343283,3
629,FFI,134,Test,0.13043478260869565,3
630,AMCA,134,Train,1.0,3
631,AMCA,134,Test,0.8695652173913043,3
632,MCA,134,Train,0.7985074626865671,4
633,MCA,134,Test,0.8260869565217391,4
634,ACA,134,Train,0.9925373134328358,4
635,ACA,134,Test,0.6086956521739131,4
636,FFI,134,Train,0.27611940298507465,4
637,FFI,134,Test,0.2608695652173913,4
638,AMCA,134,Train,1.0,4
639,AMCA,134,Test,0.6086956521739131,4
640,MCA,134,Train,0.6567164179104478,5
641,MCA,134,Test,0.6086956521739131,5
642,ACA,134,Train,1.0,5
643,ACA,134,Test,0.7391304347826086,5
644,FFI,134,Train,0.29850746268656714,5
645,FFI,134,Test,0.2608695652173913,5
646,AMCA,134,Train,1.0,5
647,AMCA,134,Test,0.7391304347826086,5
648,MCA,134,Train,0.6492537313432836,6
649,MCA,134,Test,0.5217391304347826,6
650,ACA,134,Train,0.9850746268656716,6
651,ACA,134,Test,0.6521739130434783,6
652,FFI,134,Train,0.2537313432835821,6
653,FFI,134,Test,0.17391304347826086,6
654,AMCA,134,Train,1.0,6
655,AMCA,134,Test,0.6521739130434783,6
